DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,33,330.33033,8.573074556,24.87875382,20.14990616,29.19299888,40.07311271,9.065707038,6.342401532,11.46685482,3.327353819,18.71561238,11.67316586,29.04299211,11.79105124,18.09284495,11.89833132,20.11788255,4.595903148,28.78747007,9.886308641,31.62598047,2.966594525,5.540015993,3.203164008,3.693156566,6.773778476,4.198232351,-3.343969258,-0.382005023,-14.30195577,8.104357174,5.193039039,5.196637664,14.49086174,-2.399597012,14.08112336,12.57819965,9.286762706,19.04680398,8.757730426,6.841555309
35,34,340.34034,2.829194862,-1.649766763,24.19041957,32.46256431,40.89969321,53.08331868,16.87555199,19.27779306,4.093369587,7.959212486,-9.460969921,27.63079674,37.9660036,0.388987773,11.72936296,6.344278497,9.032869952,34.7376974,14.93344643,51.4232137,3.85082656,0.607900829,9.113631432,3.668904532,14.95729996,6.183456416,-2.456020744,-1.015904836,-6.496193549,21.11796801,13.74220244,15.57870202,8.824678702,0.344350859,11.41753353,7.766702879,5.908650305,18.32163045,10.64795867,15.10779976
36,35,350.35035,8.699027674,3.84661916,11.38851917,46.98244541,34.62712448,28.13211288,12.11330168,25.04123526,4.496361861,15.01168166,10.05151867,25.17034589,29.60083717,5.402445935,26.76037638,14.24333718,6.653189836,51.87515888,11.00054176,37.2550762,2.714009659,4.649412585,-13.3735117,5.915541734,8.458630087,2.860447937,-9.996389823,0.859664668,-2.408429864,4.917816787,16.92246846,7.746157151,7.809956813,-2.901570317,10.8871275,10.67092317,12.74973119,-8.938558635,3.442227575,15.84297118
37,36,360.36036,9.653013797,-2.542537423,35.59346989,14.83694961,46.51216405,25.45321546,13.88355695,22.03131904,6.597434066,10.60676502,5.26261091,35.55582336,11.59674362,10.42886449,34.41596422,17.41616739,10.32307586,21.90555437,8.140943143,24.48017166,1.630128599,2.614659335,-1.374476175,8.666453365,6.705121136,4.150904927,-2.426424191,0.725337819,0.337962937,5.086136357,10.09099954,2.584714336,0.116739351,-3.352449322,4.72507174,12.5803063,5.707367622,12.99988932,-4.956122796,12.82793423
38,37,370.37037,6.234002469,9.939337287,25.13992076,38.14328965,14.63124056,27.91919153,4.638852485,8.619677871,6.232898194,-3.354800083,2.727978771,15.13838333,33.00152466,8.218553209,15.90200628,6.830841131,9.92553334,42.60756418,11.33553911,47.70454289,4.441734902,4.565100532,-0.115260575,8.279740033,5.050323024,8.576675166,-1.002244444,-0.29582897,6.39278787,8.104675631,2.323019205,20.81753305,-1.033332631,6.244241465,2.933428531,4.329609887,2.399052274,5.302961922,10.93392328,28.35799037
39,38,380.38038,4.190647638,5.457279921,17.30225666,22.81156137,33.02946028,27.76483894,13.77888585,14.25851051,2.746830838,11.48696491,-3.624417749,28.3286281,28.83432899,11.84974409,27.63830209,3.855692556,10.97672551,40.00281494,14.95643607,32.55400736,3.89702487,4.928072875,11.82722456,5.189346012,7.786691442,9.044754819,-6.279511488,1.593030617,3.010191076,-0.15766288,10.54920929,5.478989543,11.19720096,-2.247807973,10.0165416,11.11927971,-1.91978998,3.546856464,8.4366993,6.428122619
40,39,390.39039,13.6738327,3.731714044,15.68952429,11.25715728,36.29229001,45.03432495,18.965096,9.171125321,4.290312551,-4.104644491,20.91223684,15.44855635,17.6602586,4.88631622,22.45235852,15.05352356,2.629648359,34.82060621,12.07272319,28.77989599,0.868038113,4.133157856,1.045966211,7.636537795,12.52096259,6.319033104,0.594832031,-0.301498937,-0.166612809,15.20642453,9.601179904,-4.715028361,1.472734845,8.456706692,4.319405722,4.13320583,9.545518512,9.195150746,11.38463521,29.04256298
41,40,400.4004,5.66688247,14.39911267,25.80122326,14.48426462,46.91183294,74.48709439,11.96400062,17.06520503,9.925476544,15.10351998,5.083197641,17.77107477,37.26229045,3.824586636,10.71463651,14.27927843,10.95191992,32.05132495,11.02941533,47.93519462,5.536957704,-3.363228464,-2.336644985,5.823430897,16.21269242,0.748665884,-5.190655682,3.593701647,-0.009120983,9.523286042,13.16692779,17.7221122,0.362395788,-4.174354194,7.566761895,10.66856194,7.081130946,12.6696379,8.23368194,17.90099313
42,41,410.41041,11.00283767,17.47369367,33.16297698,20.35953576,28.83043629,61.14513325,9.410293964,-2.318061265,7.324591392,17.13835585,4.478866831,18.73448982,21.45883033,1.838854212,12.15521863,15.88620123,4.704619845,33.4498325,6.089033339,25.20559594,4.471519399,3.391916443,-2.637272017,6.226879577,4.452347522,-0.505993149,-1.377692792,3.922637515,2.228309916,11.15844635,19.79046614,8.747193693,4.066699907,2.11849234,10.07249259,15.59157904,2.965979728,5.613202543,15.5111588,11.78677219
43,42,420.42042,13.16323382,28.35716078,11.51849527,14.75819369,41.65217343,46.36866258,23.08898393,8.905044534,3.27179834,5.354105444,20.99655033,20.13641877,28.93057239,9.298531644,13.55831919,18.8912568,8.005451614,43.40328221,13.3636557,43.64913003,7.194094831,2.061676749,-2.970886759,8.070777598,13.73394468,7.585027241,-4.437498533,-2.61834855,-4.225347102,20.68199545,-3.775390506,19.12690453,11.19760687,3.067112604,0.752924059,6.220627327,5.44769046,-1.304760183,6.093387522,24.18686468
44,43,430.43043,4.128960343,19.82077047,36.42860829,50.07330791,33.80921214,21.40748536,12.96307426,15.5417414,7.199562017,17.5752455,9.051325051,14.29240932,18.82231481,1.007673678,28.55154745,7.395113122,4.900568876,40.14042557,13.62176869,32.66029827,4.034025174,6.432313894,16.11576932,8.636182784,8.013018669,1.950854765,2.628001299,-1.096818961,-8.742235009,14.78439208,6.524199571,7.408335855,10.79584133,-0.370550987,11.42309619,11.15340774,6.7046519,11.67837931,10.87506312,9.535954061
45,44,440.44044,8.069089016,12.55795901,25.01891601,38.25085292,57.22082387,28.84589394,13.13108282,10.12278211,1.138042563,-5.941007143,11.7688883,12.36889363,23.05405553,25.71194172,27.25899113,12.66107355,10.98767657,26.40323344,11.68513661,35.74652785,5.733312894,4.375090104,7.412729181,2.332485766,8.870207757,2.140672902,-2.962539108,-1.943159112,1.112220414,0.146374936,6.803466885,13.84063446,4.346143673,3.613108194,-4.952869353,16.04639532,-2.754720909,-7.493981016,5.151091253,13.11720312
46,45,450.45045,1.930360782,-4.399776998,34.21305627,48.74449401,32.39148169,44.45110218,28.358949,15.40793542,7.413267293,9.151834931,29.16246173,21.70333089,24.16262122,9.412150406,27.50137,13.90231896,6.993239095,3.069136474,7.214494627,25.58045126,4.236136642,6.410125688,8.408043109,5.328692905,8.076767131,6.403385253,5.141950813,-0.913151925,-3.503874443,6.181008472,7.80407446,13.24803921,6.429991518,0.522744977,9.606532102,8.458210342,13.48035489,14.72943519,7.703503757,1.302977362
47,46,460.46046,9.387339573,18.50357537,3.745682004,21.09279385,36.21606323,45.89337227,23.88650542,8.501735828,2.976526533,6.200422308,12.91685277,18.6785003,17.15340059,18.97033525,15.01462074,5.386782802,6.381335882,53.32953012,6.438205147,16.55479586,3.675501013,7.656053098,10.76527353,6.198344462,6.037727475,7.069969432,2.108045401,-0.688562182,-0.148801171,2.331486447,18.17175112,-0.324557504,10.78810769,0.59879227,7.057815504,17.10568601,10.3473674,11.39644186,15.39505186,18.17087219
48,47,470.47047,4.229523828,22.81961143,27.14647376,44.66371127,30.41113468,42.81226558,24.02914683,8.083202087,5.654420052,29.1865222,4.865343013,19.718744,23.71163053,3.984136818,15.66873774,16.86398581,10.10436321,14.25650677,10.85894131,33.00432406,-0.038064313,4.76874564,0.186652409,7.838806698,4.746751533,7.504373785,-5.78141891,-1.15287269,-0.73340732,0.801291272,2.176831977,8.91938943,9.249385508,11.89637775,5.81257433,13.32956987,9.67525904,23.47855537,11.08439225,-4.816900004
49,48,480.48048,-1.697087172,38.67010502,41.0184251,10.31870586,31.40061725,43.38419577,15.38536791,7.094111919,3.447178159,2.239526541,12.25339339,21.19991142,27.90426143,21.79939063,23.81050963,18.81516776,9.345806599,52.8909303,7.925404532,32.15065236,1.587962277,2.626927279,-15.8349227,6.446644354,14.2438203,11.54199569,0.493389362,1.388771917,-2.376736207,17.05054262,18.44964051,14.30820287,14.51570624,0.936884712,6.748906662,12.76001553,12.6568685,20.14538096,3.648221612,9.547273646
50,49,490.49049,4.13979401,20.72411238,21.49218134,23.41876189,30.11738192,36.42994936,19.46461494,18.4119359,2.289223067,24.23700743,10.84242503,25.84011552,20.55354532,14.98127592,-0.469490309,0.699233228,7.470477276,63.33788668,13.54551391,34.06011179,-0.072263231,5.391590444,3.977459913,5.388411964,6.234343504,8.27747467,-5.187390427,0.032851004,3.235251936,4.9803645,3.356240362,21.06331065,3.085064792,4.581663395,12.43706367,14.04685736,9.243141471,27.10912158,9.351270155,9.2239233
51,50,500.5005,11.13123035,14.33339867,21.51951968,12.66249668,40.17383701,51.4228677,25.85559174,16.8245225,6.317020777,20.99332417,10.63130623,29.95737353,20.73961605,22.46350863,39.27027973,12.91406684,11.07907774,25.63582817,11.52612772,19.75405735,5.886513942,3.987330431,-0.87074429,7.044561012,4.800810581,4.667342481,2.902667369,0.715653159,3.228311792,8.216869564,8.83542738,1.682703389,12.37210602,-1.695514063,0.995755574,11.10640766,4.319846845,1.441050547,9.214070789,12.10161692
52,51,510.51051,7.649154826,35.24828706,19.63711638,47.89364929,55.24407856,52.82663143,16.06421003,12.72942629,2.524231304,12.20435243,6.430541701,28.48173009,20.90168616,15.34678186,10.87196185,18.2520004,8.399603172,42.38930377,14.19637116,28.03641057,1.239893898,6.458556361,-5.125171816,7.516203224,9.251520576,5.037941538,1.431104248,0.300575791,-5.422606966,-6.618692322,14.2242112,1.465617309,14.46895428,5.153405266,6.669379127,14.75389086,9.267636705,22.05312239,14.11926409,-0.744488077
53,52,520.52052,6.681531202,15.3006516,11.85401556,26.03008819,47.89242669,22.81570251,11.25649729,10.29392904,4.368952307,14.10187901,12.25176869,32.8422719,17.50939191,8.627747444,15.56922415,16.77303187,5.402659716,12.3647499,4.448888793,11.04900191,3.432066836,3.568605247,3.16040078,5.997862205,11.57164564,5.59286649,2.098641633,0.325270268,5.87591984,12.86848331,4.528931655,10.6896967,7.769995372,8.511687724,4.573748834,4.570036364,7.394077345,18.21729372,11.69554657,-4.874719321
54,53,530.53053,6.984165073,29.77670917,40.21847305,34.26357105,19.54806716,52.37300422,11.97689429,9.789425467,4.9315802,10.32465514,9.095484758,26.7327309,24.24102135,6.73997058,0.274292616,18.56135376,6.874401279,53.63143114,8.792875967,28.4087653,2.633202921,1.594654039,8.415826649,5.289248443,10.95546817,11.64389457,1.652426118,-1.503169946,1.250949902,17.46896867,12.63170421,15.83238809,14.77397773,0.222263263,-3.55913323,23.45437386,0.388617713,0.117987172,17.475163,-0.263426288
55,54,540.54054,2.863876249,19.64528796,29.51337788,14.63734489,46.14527739,12.58852971,7.211031787,11.04285266,-0.044257865,4.615309118,3.536152399,14.9941434,35.14077003,10.51310903,0.740922125,1.939415094,10.58773537,36.98768129,15.02830833,52.22979196,2.874954266,2.807536596,-10.44268265,4.262548059,3.99551907,4.008721813,1.800376558,0.424921526,-0.344536015,8.978546551,3.803586648,19.03761807,4.188543528,-2.95654596,5.70612826,7.613559603,18.05517674,28.95700069,12.03441661,4.609378962
56,55,550.55055,4.158518303,13.81579823,33.56889949,20.67364015,32.44405823,50.45602645,11.19802518,14.25874002,1.60518878,13.60185988,20.28502424,37.29216314,16.33331557,28.94253672,16.51985094,10.75614468,8.422315342,38.9344869,6.834444569,21.20188623,3.902919509,7.184782502,6.641153591,4.458960274,3.393253819,9.916188265,-3.144504669,2.092278769,-5.145374658,10.31838523,17.83726436,3.096860988,14.48195916,-3.032857864,-0.996765225,16.98899418,-1.349019708,2.595661054,11.97565215,3.638908599
57,56,560.56056,11.99341367,22.72601739,44.74684453,25.00570114,23.0771769,65.83116272,28.07559522,13.68667188,3.969479426,-0.859901181,23.79901582,13.84487356,16.85448222,5.190158304,14.10363358,3.627126586,6.687162258,56.01696473,10.46828313,27.68426059,3.605021986,0.685024999,14.46961187,9.5387412,6.458965315,7.433279828,-2.716382757,-1.288125647,-0.583981956,13.35401798,9.9579138,27.38765802,-0.475461294,6.177879266,2.480150001,7.740003138,6.810827596,8.926574347,15.52392528,13.43634218
58,57,570.57057,4.638745815,-1.863630221,7.498450468,22.58309906,34.6559888,29.81438062,27.21289924,11.49977077,3.936866555,23.94651168,23.56135128,27.06073658,21.63659366,36.56409134,25.27754534,10.42649171,10.68088691,30.76340587,2.748726906,32.03812156,0.092976752,4.208395046,10.87964819,6.930729191,4.251576124,4.5905813,-0.994401115,0.510539918,0.563306806,9.854775436,20.4907938,4.039771213,13.41561831,-2.73086107,10.39721605,9.69730641,17.14917105,2.552850236,-0.217349896,9.813381243
59,58,580.58058,6.750169573,30.17281778,53.96446637,31.90354397,51.92803655,48.39303968,11.56664848,5.635045716,4.641782896,12.84880049,24.38801446,7.039911217,10.36284073,5.805175373,16.27207133,14.2026445,8.428435528,56.67501612,8.935996197,21.70510928,1.183168749,5.464896586,7.694960612,2.594863721,3.865094038,2.506454855,-3.942250808,3.033953467,5.483642348,2.150899444,26.17876592,9.606317739,14.39512028,-3.168905892,8.842913769,2.052467975,-4.278760811,8.987506559,0.921996142,4.620496741
60,59,590.59059,7.650594595,22.90775337,21.64232417,41.08005061,43.42780511,49.64338905,15.5619931,16.66734343,6.738207528,21.93931275,19.42027754,3.903629318,22.34332971,13.00886378,8.427149059,7.820500391,8.361174193,16.55996159,11.86569104,27.43439193,1.735190876,2.202200808,-19.23608602,7.009683056,4.925978864,4.101757643,-1.377613049,0.900335666,1.251976978,23.22564105,9.245044262,25.07312882,7.952755547,-2.429235664,6.778965752,25.73933511,5.384745495,15.59527763,7.131376496,20.19403073
61,60,600.6006,7.351908148,17.74885771,20.17829285,34.24277503,29.7027679,18.23584857,27.91653108,22.19285502,3.567739589,22.98748944,26.37844888,21.07121918,20.23525629,6.778254752,10.87776938,5.545614781,1.414417475,23.22292282,3.563586102,25.06758891,4.094434882,5.687238922,19.02578839,3.553146522,1.189375594,7.584628877,-0.338355904,-0.179104101,-5.236421321,13.11625598,6.557455212,11.15758195,15.14483847,-4.789417086,8.237222168,20.4392552,0.955459859,15.46530535,6.576512023,2.642556688
62,61,610.61061,3.084390781,24.82691484,28.91105903,36.17166835,41.9607181,35.150384,27.59825596,10.10109472,3.427292415,19.88699787,18.93492989,13.42152379,30.09863382,18.33150935,24.29782515,5.347304172,10.88239255,34.43754881,6.102913642,36.58770981,5.144142149,2.141680222,19.54042412,3.900626318,10.1269794,6.67735252,-1.672753071,2.834437469,3.060335238,5.800089142,-3.320082084,11.34448367,6.604942747,6.340584884,-6.600005431,6.154536077,16.39519494,14.93687322,17.24574416,6.144785582
63,62,620.62062,6.881067184,20.33693711,28.78332998,34.22012792,54.17173224,43.1042846,18.75326288,8.461722842,4.848167876,28.37727698,13.82832185,18.83703768,18.70791849,13.22343845,-0.843801418,21.24651886,7.102225702,62.81690545,5.705917599,33.70904783,6.850142792,5.095359043,15.86563463,8.209252973,5.966682782,7.127707541,-0.447322434,0.028116763,3.682055018,7.255956309,24.24981811,3.827727985,4.265721862,-0.812321339,14.13625819,16.80411999,23.98141368,20.16740006,9.071632485,0.171647578
64,63,630.63063,12.78010626,5.871131197,30.31671755,28.51133522,46.39749813,20.76237045,24.6415618,14.04750552,3.772973857,32.55607957,18.28425323,26.17301582,16.47095076,23.17470872,33.87867127,9.468174045,3.940871259,32.57291858,4.456224655,21.74068512,2.21571485,4.763069878,15.3388045,1.257208088,1.994140845,5.337793443,-5.622382923,2.623138197,2.319527877,17.84728995,16.89300203,5.429230853,13.87273749,1.319396981,0.42873179,11.77184587,10.57341946,-11.81514193,14.73368823,18.79709391
65,64,640.64064,6.2077908,25.45442649,31.4871007,45.22129493,58.81922091,24.31716388,20.67136771,4.145873521,4.721878622,19.14178286,18.20514611,9.021834194,21.82466884,12.53097689,18.80791582,23.28080306,10.91101155,27.44537782,7.97422258,21.20166512,3.550763225,2.594815487,0.085367454,8.283737031,8.53166154,7.837002063,3.023428729,0.850315776,-6.007726113,13.53768448,8.161596869,27.91862218,0.513444606,3.285771699,2.775874696,2.140985768,13.1126865,22.77336302,12.62260449,17.78449717
66,65,650.65065,11.62482544,14.45172187,34.77689256,34.58480368,55.16838433,29.89927491,12.72259687,12.23274339,3.24665819,13.6913597,17.28314458,7.673252269,18.49466478,22.64164994,20.13517678,13.7726137,7.11149635,33.99862602,5.349393728,4.429495541,4.3408405,5.86968904,7.263497792,-0.377222247,3.848756322,-0.76765468,-1.268038198,2.819052052,2.945033926,8.625701833,7.006272696,4.357504853,11.82845922,-6.758020371,6.977263579,10.76905087,8.796527399,21.05812272,-0.319893366,14.64279987
67,66,660.66066,5.098297715,13.67232158,30.60016041,4.198035552,28.4396355,18.77467511,20.956158,16.68702361,5.396456566,11.84233348,26.01292856,8.739117944,27.14210051,15.63298484,23.1096905,6.53483971,7.804838675,46.47452441,6.202749095,23.29208481,2.275926582,2.102069676,4.945911948,3.531359345,14.56234199,7.039786361,0.879337957,1.340382907,4.328981054,12.44299769,13.86081942,11.57138017,4.208325875,1.42063881,0.339615667,4.753694456,17.89832598,0.887857404,8.64296218,-0.457219507
68,67,670.67067,3.332112655,32.63822618,8.416197362,18.19733416,39.71309205,35.26813319,23.09202777,4.967537185,5.18629628,30.41103149,16.56954827,8.03382645,23.5754504,7.307736188,18.70878178,1.350567603,8.751182993,29.72100677,6.566691264,22.44093067,4.26431541,6.084100424,-4.449870304,5.407373738,8.640253731,6.210493808,-1.941793043,-1.881453607,0.405282975,1.109941113,11.79455573,16.70281551,15.69422154,-0.011158549,6.286940894,18.82395817,7.834120258,15.40169715,8.742834955,1.515527584
69,68,680.68068,9.785447911,26.96548801,28.01296384,36.15873692,27.90863647,25.59701722,24.67508436,13.26021201,4.079690411,20.44316935,12.81807113,27.18661708,4.399097425,18.0121468,30.93052069,7.408642839,4.777615487,30.8451322,1.862645835,17.71508846,0.373464228,0.804354176,15.50388565,2.689743346,5.011428152,7.828836969,3.826547562,1.44637759,-9.141034855,12.23107256,-1.59339358,12.32714702,9.421480246,2.732376793,2.881022553,10.92813714,8.568497175,17.42740586,12.25428527,0.399850731
70,69,690.69069,3.983776123,9.27726057,13.42862497,16.05692565,51.17772713,55.38302361,27.47265304,9.992826437,2.515433661,28.02329077,9.304568981,12.90512625,15.68144388,11.60507111,15.56005455,19.11545457,9.506142546,29.94019237,8.612511224,39.89900266,1.24130215,2.474575568,12.98837388,4.059552772,-0.018274291,7.529481402,-2.275793397,3.029169856,4.133815652,12.75544346,17.23055583,17.28061514,13.56591634,5.845367483,1.326504386,3.349922109,12.98337668,29.47290389,-3.211863724,12.68380771
71,70,700.7007,7.176670745,20.10707441,45.28431417,60.29653589,37.6159219,36.20612837,12.1949241,11.4608479,4.738880511,41.85681828,19.89854639,13.90333583,11.41696931,7.618797544,13.48021091,23.56692963,10.95042991,16.03830391,5.163383365,22.00887397,2.932768328,4.828161966,12.54636824,6.860271416,3.578096917,8.697643829,-1.30024248,2.003573747,3.211529548,9.502751832,27.10363094,15.4640005,9.267100248,-0.639961122,10.82277892,6.066640586,15.34096311,8.479561198,4.688363152,22.08967408
72,71,710.71071,11.63506906,18.02644308,33.44934747,21.1627823,36.04982804,17.41170508,21.84401816,8.722025934,4.421536265,30.31579657,22.52316328,22.38835817,10.32348866,4.236977769,10.46436494,4.614515678,6.422496192,42.49821947,6.668091862,11.49131552,2.801814988,8.441413464,29.00815085,7.508005941,5.83982968,15.70752052,-2.737763575,3.130880185,11.48890989,12.43531506,10.13308227,7.799894471,11.25155885,6.89726733,8.098116038,4.97501769,11.8046991,10.96399494,14.88465768,24.11837514
73,72,720.72072,10.12758613,30.88330813,33.12876917,9.498212417,20.355805,35.96096864,14.33916907,18.04429519,7.703933471,35.56167886,17.21808461,14.10440869,22.27344408,5.935052437,20.43963377,9.794678999,7.297917295,33.69638313,2.849613626,26.32547772,5.536504587,2.576114535,12.43992147,9.737172107,7.285971334,11.46110847,-3.553067378,2.77987386,3.097387512,7.863855121,7.460208605,26.5328654,8.320282623,-1.303066001,7.599148323,13.16967526,0.592630506,6.009208089,8.776628788,1.78423625
74,73,730.73073,3.857999974,22.79067293,4.62306839,30.0658328,36.15064951,30.44953079,12.86500284,19.71419183,3.979167576,25.10146836,26.19236686,19.93387718,19.03290871,11.0981989,21.35474885,2.55510848,3.975378415,60.75951863,6.143657045,23.77413276,-0.590120654,4.484257923,-8.133945074,4.355644927,-1.123369994,3.749723246,1.257070137,0.01654637,0.380770794,26.7584939,12.48797141,7.896473179,7.179784435,1.302285642,12.27469104,19.60109555,8.219850473,21.3279152,10.20460383,0.60640358
75,74,740.74074,5.816651776,36.20728041,30.65388176,20.55648815,17.31695013,32.6745557,24.02176709,8.191729246,2.542944462,23.73694301,21.00294841,27.05488507,16.62775772,7.634876005,10.21463133,15.8436521,6.312422798,74.33215074,8.64655187,9.869526777,4.809432648,4.798323511,-4.542039014,7.54785009,10.01507238,6.349956247,1.525491794,-0.615403525,-2.660238735,7.645749474,1.675765719,9.300064067,3.283173906,-3.721397652,12.94527638,-0.121067653,4.597620121,22.34850504,-0.823727991,13.03853852
76,75,750.75075,12.20518233,11.37870297,-4.554709587,12.73039742,37.96150088,24.94438815,10.42760285,16.1229076,2.727025953,30.23232931,34.59816608,10.1489813,15.84251639,-0.390378626,8.134587808,7.708225452,6.543233722,56.97534491,4.286057619,12.16832349,3.008083505,3.472048676,3.187454385,6.223508403,3.238683219,2.895791133,0.571002917,3.495130196,-0.566694784,8.457422262,18.3681982,9.420794218,6.939019917,4.263709614,5.352769859,22.73654761,19.96317516,24.75464202,12.12636629,29.49253304
77,76,760.76076,8.359531658,23.60156375,14.33401754,19.78847918,41.0340194,29.26362207,20.87241124,15.71929464,0.309390923,20.80389131,25.44222527,22.17117504,15.97949623,20.49663687,15.37668778,12.54123125,4.074779321,38.41206509,3.574881424,3.278482185,-1.355761537,5.841496452,12.84907849,6.101724043,-1.028353865,12.22746547,-0.591348339,2.3580938,6.62722668,-0.016457136,-2.863955435,10.90562221,9.311406764,3.304230581,2.438086692,16.09494836,1.824324719,9.970147289,7.615165903,5.875401807
78,77,770.77077,5.149362998,20.78586193,29.76627478,12.31095778,52.47071218,20.02239112,28.89657039,6.357470002,0.233446786,34.44910978,35.39154546,21.78590812,19.35035191,18.57710305,31.71630042,12.94801561,4.668170781,46.99428982,3.875464206,-3.112795607,2.61771055,4.297126368,29.10822233,0.040409044,6.3287784,7.709881409,9.230498352,2.167610883,1.075113347,-1.218346433,9.906784598,21.37691006,13.55918474,2.675374471,6.10400975,6.147349276,7.395926482,14.35929845,13.98847456,21.19028358
79,78,780.78078,6.567985889,19.09818245,1.336018356,30.29066216,32.84011097,48.34479747,19.33123723,16.65971603,5.805384884,31.76446408,16.48791847,21.59577874,9.524968172,10.65355129,25.18095819,18.44971775,6.80215245,30.18585771,5.509056786,24.34335525,0.551412746,3.610597463,23.7416385,6.928980635,5.071580843,15.02992164,-3.182589091,0.655575733,1.901750373,10.67023241,15.65508359,19.74905172,10.11514823,-0.431958572,2.278201307,7.239261011,4.142705743,10.72899448,11.24410969,27.69671045
80,79,790.79079,3.253827686,29.65793169,42.4322321,43.9998637,31.48426708,30.95574175,22.51409793,8.898270131,2.371278824,33.63256477,15.17897966,21.21764866,11.82674303,12.13877089,42.90571594,6.865730863,5.982251856,24.72917808,1.802949904,20.93257693,1.097717881,4.912039513,14.88308155,2.888766376,3.920698872,9.043047101,0.018778001,0.901502442,-4.921706995,13.39084097,15.52769268,10.79535919,11.53210014,4.24936374,8.627935184,17.72467281,5.787172752,6.449085474,10.56283935,14.390674
